Job_Title,Department,Min_Pay,Max_Pay,Min_Hours,Max_Hours,Job_Desc,Address,Phone_Number,Employer
clinical office assistant,Other,11.00,11.00,10,20,"Student will provide clerical and general office support for staff on the  Ocular Studies. The incumbant should be organized, detail oriented, and  feel comfortable working in a team environment. Responsabilities, will  include, gathering information for the study, preparing charts, assisting  with correspondence and Maintaining the database, charts and files.  This position is located on the Medical Campus.  If interested, please contact Larry Adams Telephone number: 305-243-4018  E-mail: ladams4@med.miami.edu (02) ","330 Biomed Resrch Bldg	 MSOM - Human Genetics 7 -STA 1501 NW 10th Ave Miami, FL 33136 1012",(305)243-4018 Ext.,"HUSSMAN INSTITUTE FOR HUMAN, Larry Adams"
Event Planning/Fundraising Coordinator,Other,15.00,15.00,10,20,"Special Olympics provides year round sports training and athletic  competition in a variety of Olympic-type sports for persons 8yrs+ with  intellectual disabilities. In this position, you will work alongside the  Vice President of Resource Development to assist with the planning and  executive of special fundraising events to support the fiscal  sustainability of Special Olympics Miami-Dade County. Previous planing and  public relations experience preferred. Must have FWS.","37-K, Office of Student Employment, Coral Gables, FL 33124",aspies@specialolympicsmiamidade.org,Amanda Spies of Department of Special Olympics Florida
Marketing/PR Coordinator,Other,15.00,15.00,10,20,"Special Olympics provides year round sports training and athletic  competition in a variety of Olympic-type sports for persons 8years+ with  intellectual disabilities. This position requires you to work alongside the  County Director to help promote Special Olympics via social media,  newsletters, community publications, and community partnerships. Previous  social media and graphics design experience preferred.","37-K, Office of Student Employment, Coral Gables, FL 33124",aspies@specialolympicsmiamidade.org,Amanda Spies of Department of Special Olympics Florida
Community Engagement Intern,Other,10.00,10.00,12,12,"If you'd like a work study position that is challenging, stimulating, and  fun, check this one out! Work with the marketing and events manager of a  unique not-for-profit. You will learn about marketinh, community engagement  communications, and more. This position will provide administrative support  as well as collaborate on special projects. Position is located in Coral  Gables. Applicant must have federal work study funds available.","37-K, Office of Student Employment, Coral Gables, FL 33124",305-442-1776,"Ms Monica Wahler, Department of Alpha One Foundation"
research assistant,Medical Campus,10.00,10.00,15,19,Serve as a liason between the different agencies involved in the running of the Miami-Dade Injury Surveillance System program. The position is at the UM Medical Campus. Position will inove direct in person and phone contact with the community and agencies for a community centered program.,,(305)284-6641,SCHOOL OF ARCHITECTURE
"Assist. Web Designer, Production Assist.",Administrative Offices,10.00,12.00,15,19,"Assists with web programming to-dos among various Web,mobile properties  Provides input & recommendations on developing interactive projects.Assists  with maintenance of major,high-traffic publication websites. Works with  internal & external clients to resolve minor web technical issues. Should  have some experience programming/updating Web pages. Additional HTML,XML,  XSLT JavaScript libraries,PHP,MySQL experience a plus. Will be working  with FTP sites,Wordpress websites,mobile app,JQuery,various CMSs, web  calendaring. Please e-mail: r.rivero2@miami.edu (03) ","720 Gables One Tower University Communications - On 1320 S Dixie Hwy Coral Gables, FL 33146 2926",(305)284-6271 Ext.,"MR Ruben Rivero, Department of UNIVERSITY COMMUNICATIONS"
Student Assistant,Administrative Offices,10.00,10.00,15,19,"Student Employee needed for the following duties; General clerical office  duties, (filing, copying). Prepare welcome packages for new students.  Running errands on campus. Other duties as assigned.  Please Contact: Ana Aguilar Telephone number: 305-284-4728  Email: a.aguilar1@miami.edu ","111.03 Allen Hall	 DCIE - IEP Admin -STA 5050 Brunson Dr Coral Gables, FL 33146 2412",(305)284-4728,"Ms Vanessa Enrizo, Department of OFFICE OF THE DEAN, SCHOOL OF"
"Assist. Web Designer, Production Assist",Schools and Libraries,10.00,12.00,15,19,"Assists with web programming to-dos among various Web,mobile properties  Provides input & recommendations on developing interactive projects.Assists  with maintenance of major,high-traffic publication websites. Works with  internal & external clients to resolve minor web technical issues. Should  have some experience programming/updating Web pages. Additional HTML,XML,  XSLT JavaScript libraries,PHP,MySQL experience a plus. Will be working  with FTP sites,Wordpress websites,mobile app,JQuery,various CMSs, web  calendaring. Please e-mail: r.rivero2@miami.edu (03)  ","720 Gables One Tower	 University Communications - On 1320 S Dixie Hwy Coral Gables, FL 33146 2926",(305)284-6271 Ext.,COMMUNICATION
"Assist. Web Designer, Production Assist",Other,10.00,12.00,15,19,"Assists with web programming to-dos among various Web,mobile properties  Provides input & recommendations on developing interactive projects.Assists  with maintenance of major,high-traffic publication websites. Works with  internal & external clients to resolve minor web technical issues. Should  have some experience programming/updating Web pages. Additional HTML,XML,  XSLT JavaScript libraries,PHP,MySQL experience a plus. Will be working  with FTP sites,Wordpress websites,mobile app,JQuery,various CMSs, web  calendaring. Please e-mail: r.rivero2@miami.edu (03)  ","720 Gables One Tower	 University Communications - On 1320 S Dixie Hwy Coral Gables, FL 33146 2926",(305)284-6271 Ext.,COMMUNICATION
Federal Work Study,Administrative Offices,8.05,8.05,15,19,"Student employee needed for the following duties; Answer phones, greet  visitors, run errands, type, distribute mail, post announcements,  maintain inventory & other related duties. Must be able to lift 50 lbs.  Must be PUNCTUAL and DEPENDABLE; able to work independently; work during  UM breaks, holiday periods and the summer.  If interested, please contact Julieta Garcia Phone number:  305-284-2268 E-mail: julie@cs.miami.edu (02) ","429 Ungar College of A&S - Computer Scie 1365 Memorial Dr Coral Gables, FL 33146 2508",(305)284-2268 Ext.,"MS Julieta Garcia, Department of COMPUTER SCIENCE"
Federal Work Study,Schools and Libraries,8.05,8.05,15,19,"Student employee needed for the following duties; Answer phones, greet  visitors, run errands, type, distribute mail, post announcements,  maintain inventory & other related duties. Must be able to lift 50 lbs.  Must be PUNCTUAL and DEPENDABLE; able to work independently; work during  UM breaks, holiday periods and the summer.  If interested, please contact Julieta Garcia Phone number:  305-284-2268 E-mail: julie@cs.miami.edu (02) ","429 Ungar	 College of A&S - Computer Scie 1365 Memorial Dr Coral Gables, FL 33146 2508",(305)284-2268 Ext.,"MS Julieta Garcia, Department of COMPUTER SCIENCE"
federal work study,Student Activities,8.05,8.05,15,19,"Student employee needed for the following duties; Answer phones, greet visitors, run errands, type, distribute mail, post announcements, maintain inventory & other related duties. Must be able to lift 50 lbs. Must be PUNCTUAL and DEPENDABLE; able to work independently; work during UM breaks, holiday periods and the summer. If interested, please contact Julieta Garcia Phone number: 305-284-2268 E-mail: julie@cs.miami.edu (02)","429 Ungar, College of A&S - Computer Scie, 1365 Memorial Dr, Coral Gables, FL 33146 2508",3052842268,"COMPUTER SCIENCE, Julieta Garcia"
federal work study,Other,8.05,8.05,15,19,"Student employee needed for the following duties; Answer phones, greet  visitors, run errands, type, distribute mail, post announcements,  maintain inventory & other related duties. Must be able to lift 50 lbs.  Must be PUNCTUAL and DEPENDABLE; able to work independently; work during  UM breaks, holiday periods and the summer.  If interested, please contact Julieta Garcia Phone number:  305-284-2268 E-mail: julie@cs.miami.edu (02) ","429 Ungar	 College of A&S - Computer Scie 1365 Memorial Dr Coral Gables, FL 33146 2508",(305)284-2268 Ext.,"COMPUTER SCIENCE, Julieta Garcia"
Peer Advisor,Administrative Offices,8.25,8.25,15,19,"Peer Advisor will create pre-event buzz on campus by handing out fliers,  making announcements, tabling around campus, etc. Conduct 15-20 minute mock  interviews with students and provide positive and constructive feedback.  Critique resumes and provide feedback through electronic resume database.  Assist students with resume & cover letter development during Walk-In hrs.  Assist with career fairs and events. Attend and participate in training  activities. Other duties as assigned. Please contact Carly Smith  Submit content for Toppel Peers Blog, http://toppelpeers.blogspot.com ","165 Toppel Career Ctr Toppel - Career Services 1 -ST 5225 Ponce De Leon Blvd Coral Gables, FL 33146",(305)284-1819 Ext,"Ms Carly Smith, Department of SR VICE PROVOST-UNDERGRADUATE"
Peer Advisor,Student Activities,8.25,8.25,15,19,"Peer Advisor will create pre-event buzz on campus by handing out fliers,  making announcements, tabling around campus, etc. Conduct 15-20 minute mock  interviews with students and provide positive and constructive feedback.  Critique resumes and provide feedback through electronic resume database.  Assist students with resume & cover letter development during Walk-In hrs.  Assist with career fairs and events. Attend and participate in training  activities. Other duties as assigned. Please contact Carly Smith  Submit content for Toppel Peers Blog, http://toppelpeers.blogspot.com ","165 Toppel Career Ctr         Toppel - Career Services 1 -ST 5225 Ponce De Leon Blvd Coral Gables, FL 33146",(305)284-1819 ,"Ms Carly Smith, Department of SR VICE PROVOST-UNDERGRADUATE"
Student Assistant,Administrative Offices,12.00,12.00,15,19,Student worker will be working with web design and adobe indesign  specifically assisting with a project on the web.  Please contact Sheri Virok Telephone number: (305) 297-0768  E-mail: sheri.lee@miami.edu ,"100 Gables One Tower	 Benefits -STA 1320 S Dixie Hwy Coral Gables, FL 33146 2926",(305)284-3004 Ext.,"Ms Nicole Brenson, Department of PSYCHIATRY & BEHAVIORAL SCIENC"
Student Assistant,Administrative Offices,12.00,12.00,15,19,"Student employee will assist with maintain department schedule by  maintaining calendars for department personnel; arranging meetings,  conferences, teleconferences, and travel. Maintains office supplies  inventory; placing and expediting orders for supplies; verifying receipt of  supplies. Keeps equipment operational. Organizes work by reading and  routing correspondence; collecting info; initiating telecommunication.  Produces info. by transcribing, formatting, inputting, editing, retrieving,  copying, and transmitting text, data, and graphics. ","325 McArthur Eng	 CoE - Civil Arch & Env Enginee 1251 Memorial Dr Coral Gables, FL 33146 2509",(305)284-3391 Ext.,"MS Maria Riedmiller, Department of VP REAL ESTATE & FACILITIES"
Student Assistant,Administrative Offices,10.00,10.00,15,19,"We are seeking a student employee for general clerical office duties such  as; gathering and organizing marketing material and supplies.  Assisting with promotional activities. Set up and maintain, paper and  electronic filing system. Operate office equipment (phone, copier, fax).  Spreadsheet and word processing knowledge.  Please contact Erika Whittaker Telephone number: (305) 284-1090  E-mail: ecw31@miami.edu ","uc	 University Center Coral Gables,, FL 33124",(305)284-3764,"MR Donner Valle, Department of OFFICE OF THE DEAN, SCHOOL OF"
Student Assistant,Student Activities,8.50,10.00,15,19,"Student employee will assist with maintain department schedule by  maintaining calendars for department personnel; arranging meetings,  conferences, teleconferences, and travel. Maintains office supplies  inventory; placing and expediting orders for supplies; verifying receipt of  supplies. Keeps equipment operational. Organizes work by reading and  routing correspondence; collecting info; initiating telecommunication.  Produces info. by transcribing, formatting, inputting, editing, retrieving,  copying, and transmitting text, data, and graphics. ","325 McArthur Eng         CoE - Civil Arch & Env Enginee 1251 Memorial Dr Coral Gables, FL 33146 2509", (305)284-3391,"MS Kathy Raymond, Department of MEDICINE"
Student Assistant,Student Activities,8.50,10.00,15,19,"We are seeking a student employee for general clerical office duties such  as; gathering and organizing marketing material and supplies.  Assisting with promotional activities. Set up and maintain, paper and  electronic filing system. Operate office equipment (phone, copier, fax).  Spreadsheet and word processing knowledge.  Please contact Erika Whittaker Telephone number: (305) 284-1090  E-mail: ecw31@miami.edu ","uc         University Center Coral Gables,, FL 33124",(305)284-3764,"MR David Lecon, Department of GRADUATE BUSINESS PROGRAMS"
student assistant,Student Activities,8.50,10.00,15,19,"Student Employee needed for the following duties; General clerical office  duties, (filing, copying). Prepare welcome packages for new students.  Running errands on campus. Other duties as assigned.  Please Contact: Ana Aguilar Telephone number: 305-284-4728  Email: a.aguilar1@miami.edu ","111.03 Allen Hall         DCIE - IEP Admin -STA 5050 Brunson Dr Coral Gables, FL 33146 2412",(305)284-4728,"SCHOOL OF EDUCATION, Ana Aguilar"
Student Assistant (FWS),Schools and Libraries,8.05,8.05,15,19,"Student employee needed for the following duties; Scanning, filing,  organization of documents, and answering phones. Assisting with student  service events and programs as needed.  *** Must have FWS funding for entire academic year.***  If interested, please contact Lori Maroon Telephone number: 305-284-9208  E-mail: lmaroon@law.miami.edu ","A212 Law Admin (A)	. Law - Office of Acad Affairs - 1311 Miller Dr Coral Gables, FL 33146 2300",(305)284-9208 Ext,"MS Lori Maroon, Department of SCHOOL OF LAW"
student assistant (FWS),Student Activities,8.05,8.05,15,19,"Student employee needed for the following duties; Scanning, filing,  organization of documents, and answering phones. Assisting with student  service events and programs as needed.  *** Must have FWS funding for entire academic year.***  If interested, please contact Lori Maroon Telephone number: 305-284-9208  E-mail: lmaroon@law.miami.edu ","A212 Law Admin (A), Law - Office of Acad Affairs, 1311 Miller Dr, Coral Gables, FL 33146 2300",3052849208,"LAW SCHOOL, Lori Maroon"
student assistant (FWS),Other,8.05,8.05,15,19,"Student employee needed for the following duties; Scanning, filing,  organization of documents, and answering phones. Assisting with student  service events and programs as needed.  *** Must have FWS funding for entire academic year.***  If interested, please contact Lori Maroon Telephone number: 305-284-9208  E-mail: lmaroon@law.miami.edu ","A212 Law Admin (A)	. Law - Office of Acad Affairs - 1311 Miller Dr Coral Gables, FL 33146 2300",(305)284-9208 Ext,"LAW SCHOOL, Lori Maroon"
Student Assistant-Pediatric Advancement,Medical Campus,10.00,10.00,15,19,"The Office of Pediatric Advancement supports the entire Department of  Pediatrics for the University of Miami Miller School of Medicine by  securing financial support through individual, corporate and foundation  gifts. This position will serve as a student assistant in the Pediatric  Advancement Office located in Mailman Center on the Medical Campus.","1021A Jackson Towers       Medical Development - Advancem 1500 NW 12th Ave Miami, FL 33136 1051",(305)243-8860 Ext.,"MR Daniel Thorpe, Department of MEDICAL DEVELOPMENT"
Student Office Assistant,Administrative Offices,8.05,8.25,15,19,"The Physics Department is seeking a student employee for the following  duties; greeting guests, answering telephones, making copies, running  errands, collecting mail daily, and distribuiting, filling and any  assistance the department may require. No physics majors allowed.  Please Contact:Annie Sebro Telephone Number: 305-284-7120  Email: annie@physics.miami.edu ","330 Knight Physics	 College of A&S - Physics - Off 1320 Campo Sano Ave Coral Gables, FL 33146",(305)284-7120 Ext.,"Ms Anella Sebro, Department of PHYSICS"
Ticket Representative,Administrative Offices,8.05,9.00,15,19,"Required to work all home football games in addition to other ticketed  athletic events on a rotational basis. Gain valuable experience working  within a ticket office environment. Process orders and provide customer  service over the phone, in person, and by mail using computerized ticketing  system. Assist customers with all questions, problems, and concerns in  a timely, professional manner. Responsible for cash handling, reconcilia-  tion, and following NCAA Compliance guidelines. Perform general office  duties as required, and other duties as assigned. Email: aposen@miami.edu ","Floor 01 Hecht Athletic Ctr Athletics Admin - Business Ope 5821 San Amaro Dr Coral Gables, FL 33146 2402",(305)284-8225 Ext.,"MR Andrew Posen, Department of ATHLETICS ADMINISTRATION"
Ticket Representative,Student Activities,8.05,8.05,15,19,"Required to work all home football games in addition to other ticketed athletic events on a rotational basis. Gain valuable experience working within a ticket office environment. Process orders and provide customer service over the phone, in person, and by mail using computerized ticketing system. Assist customers with all questions, problems, and concerns in a timely, professional manner. Responsible for cash handling, reconciliation, and following NCAA Compliance guidelines. Perform general office duties as required, and other duties as assigned. Email: aposen@miami.edu ","Floor 01 Hecht Athletic Ctr Athletics Admin - Business Operations, 5821 San Amaro Dr Coral Gables, FL 33146 2402", (305)284-8225,"MR Andrew Posen, Department of ATHLETICS ADMINISTRATION"
Web Assistant,Schools and Libraries,9.10,10.99,15,19,"The Division of Enrollment Management is seeking a Web Assistant for the  following duties; Assist with web design, programming, maintenance.  Assist in day-to-day responsibilities using our CMS platforms (Expression  Engine & Cascade CMS) & other applications such as Salesforce,  Marketo, WuFoo, & more. Must have experience with programming/updating  web pages using HTML, CSS, & JavaScript. Provide timely, accurate data  entry & updates on the website. Other essential duties & responsibilities  as assigned. Please e-mail Jorge Mesa at j.mesa5@miami.edu (03) ","250C Gables One Tower       Enrollment Mgmt - Market Resea 1320 S Dixie Hwy Coral Gables, FL 33146 2926",  (305)284-5259 Ext.,"MR Jorge Mesa, Department of MARKET RESEARCH"
web assistant,Student Activities,9.10,10.99,15,19,"The Division of Enrollment Management is seeking a Web Assistant for the following duties; Assist with web design, programming, maintenance. Assist in day-to-day responsibilities using our CMS platforms (Expression Engine & Cascade CMS) & other applications such as Salesforce, Marketo, WuFoo, & more. Must have experience with programming/updating web pages using HTML, CSS, & JavaScript. Provide timely, accurate data entry & updates on the website. Other essential duties & responsibilities as assigned. Please e-mail Jorge Mesa at j.mesa5@miami.edu (03)","250C Gables One Tower, Enrollment Mgmt - Market Research, 1320 S Dixie Hwy, Coral Gables, FL 33146 2926",3052845259,"MARKET RESEARCH, Jorge Mesa"
web assistant,Other,9.10,10.99,15,19,"The Division of Enrollment Management is seeking a Web Assistant for the  following duties; Assist with web design, programming, maintenance.  Assist in day-to-day responsibilities using our CMS platforms (Expression  Engine & Cascade CMS) & other applications such as Salesforce,  Marketo, WuFoo, & more. Must have experience with programming/updating  web pages using HTML, CSS, & JavaScript. Provide timely, accurate data  entry & updates on the website. Other essential duties & responsibilities  as assigned. Please e-mail Jorge Mesa at j.mesa5@miami.edu (03) ","250C Gables One Tower       Enrollment Mgmt - Market Resea 1320 S Dixie Hwy Coral Gables, FL 33146 2926",  (305)284-5259 Ext.,"MARKET RESEARCH, Jorge Mesa"
Receptionist/Clerk/Assistant,Other,10.00,10.00,15,19,"Coconut Gove Law Office that specializes in personal injury, family law,and  contract reviews, seeks a receptionist/assistant that will assist the by  answering phone calls, client interviews, speaking with clients, organize  and mantain client files for meeints, heerings, depositions, or mediations,  assist with office calander, and perform office related duties. You will be  able to attend hearings, client meetings, and other schedules events.","37-K, Office of Student Employment, Coral Gables, FL 33124",3056719050,Scott Merl
Student Assistant,Schools and Libraries,10.00,10.00,15,19,"Student Employee needed for the following duties; General clerical office  duties, (filing, copying). Prepare welcome packages for new students.  Running errands on campus. Other duties as assigned.  Please Contact: Ana Aguilar Telephone number: 305-284-4728  Email: a.aguilar1@miami.edu","111.03 Allen Hall DCIE - IEP Admin -STA 5050 Brunson Dr Coral Gables, FL 33146 2412",(305)284-4728,"Ms Vanessa Enrizo, Department of OFFICE OF THE DEAN, SCHOOL OF"
student assistant,Schools and Libraries,10.00,10.00,15,19,"Student employee will assist with maintain department schedule by  maintaining calendars for department personnel; arranging meetings,  conferences, teleconferences, and travel. Maintains office supplies  inventory; placing and expediting orders for supplies; verifying receipt of  supplies. Keeps equipment operational. Organizes work by reading and  routing correspondence; collecting info; initiating telecommunication.  Produces info. by transcribing, formatting, inputting, editing, retrieving,  copying, and transmitting text, data, and graphics. ","325 McArthur Eng	 CoE - Civil Arch & Env Enginee 1251 Memorial Dr Coral Gables, FL 33146 2509",(305)284-3391 Ext.,"SCHOOL OF EDUCATION, Donner Valle"
Student Assistant,Student Activities,8.50,10.00,15,19,Student worker will be working with web design and adobe indesign  specifically assisting with a project on the web.  Please contact Sheri Virok Telephone number: (305) 297-0768  E-mail: sheri.lee@miami.edu,"00 Gables One Tower         Benefits -STA 1320 S Dixie Hwy Coral Gables, FL 33146 2926",(305)284-3004,"MS Michelle Mederos, Department of FINANCE"
Student Assistant,Other,8.05,10.99,15,19,"Student Employee needed for the following duties; General clerical office  duties, (filing, copying). Prepare welcome packages for new students.  Running errands on campus. Other duties as assigned.  Please Contact: Ana Aguilar Telephone number: 305-284-4728  Email: a.aguilar1@miami.edu","111.03 Allen Hall DCIE - IEP Admin -STA 5050 Brunson Dr Coral Gables, FL 33146 2412",(305)284-4728,"MS Samantha Dietz PHD, Department of OFFICE OF THE DEAN, SCHOOL OF"
Student Assistant,Other,8.05,12.00,15,19,"Student employee will assist with maintain department schedule by  maintaining calendars for department personnel; arranging meetings,  conferences, teleconferences, and travel. Maintains office supplies  inventory; placing and expediting orders for supplies; verifying receipt of  supplies. Keeps equipment operational. Organizes work by reading and  routing correspondence; collecting info; initiating telecommunication.  Produces info. by transcribing, formatting, inputting, editing, retrieving,  copying, and transmitting text, data, and graphics. ","325 McArthur Eng	 CoE - Civil Arch & Env Enginee 1251 Memorial Dr Coral Gables, FL 33146 2509",(305)284-3391 Ext.,"ENTERPRISE RESOURCE PLANNING, Lorilei Barsh"
Student Assistant (FWS),Administrative Offices,8.05,14.00,15,19,"Student employee needed for the following duties; Scanning, filing,  organization of documents, and answering phones. Assisting with student  service events and programs as needed.  *** Must have FWS funding for entire academic year.***  If interested, please contact Lori Maroon Telephone number: 305-284-9208  E-mail: lmaroon@law.miami.edu ","A212 Law Admin (A)	 Law - Office of Acad Affairs - 1311 Miller Dr Coral Gables, FL 33146 2300",(305)284-9208 Ext.,"MS Lori Maroon, Department of SCHOOL OF LAW"
Web Assistant,Administrative Offices,9.10,9.10,15,19,"The Division of Enrollment Management is seeking a Web Assistant for the  following duties; Assist with web design, programming, maintenance.  Assist in day-to-day responsibilities using our CMS platforms (Expression  Engine & Cascade CMS) & other applications such as Salesforce,  Marketo, WuFoo, & more. Must have experience with programming/updating  web pages using HTML, CSS, & JavaScript. Provide timely, accurate data  entry & updates on the website. Other essential duties & responsibilities  as assigned. Please e-mail Jorge Mesa at j.mesa5@miami.edu (03) ","250C Gables One Tower Enrollment Mgmt - Market Resea 1320 S Dixie Hwy Coral Gables, FL 33146 2926",(305)284-5259 Ext,"MR Jorge Mesa, Department of MARKET RESEARCH"
Student Assistant,Administrative Offices,10.99,10.99,15,19,"The Department of Psychiatry is seeking a Student Assistant to work on the  Medical Campus to assist in the office of graduate medical education.  You will provide administrative support for the Residency Director and  Residency Director and Residency Coordinators in the areas of data entry,  making copies, faxing, filing, answering phones, sorting mail and assisting  the manager with other duties as assigned. Basic computer skills are  required to fulfill the functions of this job. If interested, please send  a CV to Andrea at asanto@med.miami.edu. Located on the Med campus. ","620A McKnight-Vision Res	 Ophthalmology Department Miami, FL 33136 1015",(305)482-4230 Ext.,"MRS Sheri Virok, Department of BENEFITS ADMINISTRATION"
Student Assistant,Medical Campus,9.00,9.00,15,19,"The Department of Psychiatry is seeking a Student Assistant to work on the  Medical Campus to assist in the office of graduate medical education.  You will provide administrative support for the Residency Director and  Residency Director and Residency Coordinators in the areas of data entry,  making copies, faxing, filing, answering phones, sorting mail and assisting  the manager with other duties as assigned. Basic computer skills are  required to fulfill the functions of this job. ","620A McKnight-Vision Res        (305)482-4230 Ext. Ophthalmology Department Miami, FL 33136 1015",,"Ms Suelyn Chong, Department of COUNSELING CENTER"
Student Assistant,Medical Campus,9.00,9.00,15,19,"The Department of Psychiatry is seeking a Student Assistant to work on the  Medical Campus to assist in the office of graduate medical education.  You will provide administrative support for the Residency Director and  Residency Director and Residency Coordinators in the areas of data entry,  making copies, faxing, filing, answering phones, sorting mail and assisting  the manager with other duties as assigned. Basic computer skills are  required to fulfill the functions of this job. ","620A McKnight-Vision Res         Ophthalmology Department Miami, FL 33136 1015",(305)482-4230 Ext.,"MS Saray Whittaker, Department of ADMINISTRATION"
Student Assistant,Student Activities,8.50,10.00,15,19,"The Department of Psychiatry is seeking a Student Assistant to work on the  Medical Campus to assist in the office of graduate medical education.  You will provide administrative support for the Residency Director and  Residency Director and Residency Coordinators in the areas of data entry,  making copies, faxing, filing, answering phones, sorting mail and assisting  the manager with other duties as assigned. Basic computer skills are  required to fulfill the functions of this job. If interested, please send  a CV to Andrea at asanto@med.miami.edu. Located on the Med campus.","620A McKnight-Vision Res        Ophthalmology Department Miami, FL 33136 1015",(305)482-4230,"MS Ana Aguilar, Department of INTENSIVE ENGLISH PROGRAMS"
Administrative & Performance Support,Other,11.00,11.00,15,19,"The candidate will assist the artistic director with grant acquisitions  through research, document compilation, and proofreading/editing. The  candidate will also support the off-site performance/field trip activities  as directed by scheduling/production staff and complete various office  tasks. Position is during the day time. ","37-K, Office of Student Employment, Coral Gables, FL 33124",305-284-8800,Mr Edgar  Rondon of Department of Fantasy Theatre
office assistant,Medical Campus,9.10,9.10,15,20,"Seeking Office Assistant to handle clerical work. Student will be filing,  typing correspondence, entering data, mailing distribution, scanning and  checking voicemail. ","1118.01 Soffer Family CRC        Medicine - Gastroenterology 1 1120 NW 14th St Miami, FL 33136 2107",(305)243-5199 Ext.,"LAW SCHOOL, Elvira Vilaboy"
office assistant,Medical Campus,9.00,10.00,15,20,"Seeking Office Assistant to handle clerical work. Student will be filing,  typing correspondence, entering data, mailing distribution, scanning and  checking voicemail. ","1118.01 Soffer Family CRC        Medicine - Gastroenterology 1 1120 NW 14th St Miami, FL 33136 2107",(305)243-5199 Ext.,"SCHOOL OF EDUCATION, Marilyn deNarvaez"
Student Assistant,Medical Campus,9.09,9.09,15,20,"Looking for a responsible person, well organized with good phone &  interpersonal skills to assit in administrative duties, reception, course  enrollments and to assist with set up and registration of Continuing  medical Education courses. Must be proficient with all MS Office programs.  Social media and web html a plus. Prefer Junior or Senior. Job located at  the Medical campus. Some Saturdays and Sundays are required. ","470 JMH-Highland Prof         Family Medicine & Community He 1801 NW 9th Ave Miami, FL 33136 1101",(305)243-4751 Ext.,"MRS Asma Aftab, Department of FAMILY MEDICINE & COMMUNITY HE"
Student Assistant,Medical Campus,9.00,9.00,15,20,"Department at the Medical Campus is seeking a Student Assistant who will  provide administrative support to the Reseach Manager and Coordinators in  the area of data entry, making copies, filing, answering phones, and  assisting the manager with other duties as assigned. Basic computer skills  are required to fulfill the functions of the job. Interest or experience  in Clinical Research is preferred. If interested, please send a CV to  Nicole at nbrenson@med.miami.edu","3308R JMH-Mental Health        (305)355-8186 Ext. Medical Systems Integration Of 1695 NW 9th Ave Miami, FL 33136 1409 ",(305)355-8186 Ext.,"MRS Maria Aldana, Department of CIVIL, ARCHITECTURAL & ENV ENG"
Waiters,Housing and Dining,8.05,9.00,15,20,"We are seeking students with excellent communication and guest service skills to help set up and work event at the Hurricane Club. A sound knowledge of food and wine and beverage service is optional, but not required. The optimal student-employee would have a flexible schedule to accommodate our events. For More information contact Soc Giourgas (305)284-2444","125 Whitten Univ Ctr. Auxiliary Services, Coral Gables",3052843584,"MR Melvin Tenen, Department of FOOD SERVICES"
Gallery Monitor - CAS Gallery,Administrative Offices,8.05,8.05,16,16,"We are seeking a student assistant to perform the following duties;  Sit and monitor the gallery during open hours. Greeting gallery visitors,  overseeing the artwork, keeping gallery clean and presentable. Other duties  as assigned. Willing to accept applicants seeking to work two to three days  out of the schedule.  If interested, please contact Milly Cardoso Telephone number:305-284-3161  E-mail: m.cardoso1@miami.edu (09) ","113 Rainbow College of A&S - Art & Art His 1540 Levante Ave Coral Gables, FL 33146 2417",(305)284-2542,"MS Milagros Cardoso, Department of ART & ART HISTORY"
Gallery Monitor - CAS Gallery,Student Activities,8.05,8.05,16,16,"We are seeking a student assistant to perform the following duties; Sit and monitor the gallery during open hours. Greeting gallery visitors, overseeing the artwork, keeping gallery clean and presentable. Other duties as assigned. Willing to accept applicants seeking to work two to three days out of the schedule. If interested, please contact Milly Cardoso Telephone number:305-284-3161 E-mail: m.cardoso1@miami.edu (09)","113 Rainbow, College of A&S - Art & Art His, 1540 Levante Ave, Coral Gables, FL 33146 2417",3052842542,"ART & ART HISTORY, Milly Cardoso"
Gallery Monitor - CAS Gallery,Schools and Libraries,8.05,8.05,16,16,"We are seeking a student assistant to perform the following duties;  Sit and monitor the gallery during open hours. Greeting gallery visitors,  overseeing the artwork, keeping gallery clean and presentable. Other duties  as assigned. Willing to accept applicants seeking to work two to three days  out of the schedule.  If interested, please contact Milly Cardoso Telephone number:305-284-3161  E-mail: m.cardoso1@miami.edu (09) ","113 Rainbow	 College of A&S - Art & Art His 1540 Levante Ave Coral Gables, FL 33146 2417",(305)284-2542,"MS Milagros Cardoso, Department of ART & ART HISTORY"
Gallery Monitor - CAS Gallery,Other,8.05,8.05,16,16,"We are seeking a student assistant to perform the following duties;  Sit and monitor the gallery during open hours. Greeting gallery visitors,  overseeing the artwork, keeping gallery clean and presentable. Other duties  as assigned. Willing to accept applicants seeking to work two to three days  out of the schedule.  If interested, please contact Milly Cardoso Telephone number:305-284-3161  E-mail: m.cardoso1@miami.edu (09) ","113 Rainbow	 College of A&S - Art & Art His 1540 Levante Ave Coral Gables, FL 33146 2417",(305)284-2542,"ART & ART HISTORY, Milly Cardoso"
